Time (ms),Stage,PosX (m),PosY (m),PosZ (m),VeloX (m/s),VeloY (m/s),VeloZ (m/s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),Bar Altitude,Bar Pressure,Bar Temperature,GPS Longitude,GPS Latitude,GPS Altitude,GPS PosX,GPS PosY,GPS PosZ,GPS Heading Angle,GPS Satellites,IMU AccelX,IMU AccelY,IMU AccelZ,IMU AngVeloX,IMU AngVeloY,IMU AngVeloZ,IMU MagX,IMU MagY,IMU MagZ,IMU OrientationW,IMU OrientationX,IMU OrientationY,IMU OrientationZ,IMU Roll,IMU Pitch,IMU Yaw,PWM,Target Lat,Target Long,Goal Angle,BNO Calibration Sys,BNO Calibration Accel,BNO Calibration Gryo,BNO Calibration Mag
3750.76,Pre Launch,,,,,,,0,-0.05,9.74,5.85,101685.05,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.01,-0.05,9.74,-0.06,-0.12,-0.06,-29.19,27.69,101.25,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.77,Pre Launch,,,,,,,0,0.02,9.74,5.85,101685.05,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,-0.01,0.02,9.74,-0.06,-0.19,0,-29.19,27.69,101.25,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.78,Pre Launch,,,,,,,0,0.06,9.75,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,-0.03,0.06,9.75,-0.06,0,-0.06,-29.19,27.69,101.25,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.79,Pre Launch,,,,,,,0,0.02,9.74,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.03,0.02,9.74,-0.12,0.06,0.12,-29.19,27.69,101.25,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.8,Pre Launch,,,,,,,0,-0.03,9.78,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.03,-0.03,9.78,-0.06,0.19,0.06,-29.19,27.69,101.25,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.81,Pre Launch,,,,,,,0,0,9.74,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.02,0,9.74,-0.06,0.25,-0.12,-31.5,27,103.69,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.82,Pre Launch,,,,,,,0,0.04,9.75,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.03,0.04,9.75,0.06,0.12,-0.12,-31.5,27,103.69,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.83,Pre Launch,,,,,,,0,0.18,9.76,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.02,0.18,9.76,0.12,-0.19,0.06,-31.5,27,103.69,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.84,Pre Launch,,,,,,,0,0,9.74,5.64,101687.59,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0,0,9.74,-0.06,-0.31,0,-31.5,27,103.69,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.85,Pre Launch,,,,,,,0,-0.03,9.77,5.46,101689.76,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0,-0.03,9.77,0.06,-0.12,0,-31.5,27,103.69,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.86,Pre Launch,,,,,,,0,0.01,9.77,5.46,101689.76,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.05,0.01,9.77,0,-0.06,0,-31.5,27.69,102.88,0.47,-0.54,-0.52,0.46,-97.34,0.96,88.1,0,0,0,-45,0,0,3,0
3750.87,Pre Launch,,,,,,,0,0.04,11.06,5.46,101689.76,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,0.02,0.04,11.06,-1.5,0.62,0,-31.5,27.69,102.88,0.47,-0.54,-0.52,0.46,-97.35,0.96,88.09,0,0,0,-45,0,0,3,0
3750.88,Pre Launch,,,,,,,0,-0.62,27.95,5.46,101689.76,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,-0.7,-0.62,27.95,-2.94,2.12,-1.25,-31.5,27.69,102.88,0.47,-0.54,-0.52,0.46,-97.38,0.94,88.07,0,0,0,-45,0,0,3,0
3750.89,Pre Launch,,,,,,,0,0.62,26.06,5.46,101689.76,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,-0.05,0.62,26.06,-1.81,2.19,-1.81,-31.5,27.69,102.88,0.47,-0.54,-0.52,0.46,-97.4,0.92,88.06,0,0,0,-45,0,0,3,0
3750.9,Powered Ascent,,,,,,,0,0.78,30.15,5.46,101689.76,39.12,-761065984,389987040,-20.15,4.79,0.28,-17.04,149.56,21,-0.21,0.78,30.15,-3.12,6.12,-0.44,-31.5,27.69,102.88,0.47,-0.54,-0.52,0.46,-97.43,0.91,88,0,0,0,-45,0,0,3,0
3751.31,Powered Ascent,,,,,,,0,-0.47,39.76,10.23,101632.23,39.12,-761065856,389986944,-19.25,5.81,-0.57,-16.15,127.11,12,1.34,-0.47,39.76,1.06,6.31,0.88,-93,42.25,159.56,0.5,-0.58,-0.49,0.43,-97.81,0.4,80.79,0,0,0,-45,0,0,3,0
3751.54,Powered Ascent,,,,,,,0,-1.78,39.81,20.17,101512.59,38.72,-761065856,389986944,-19.25,5.81,-0.57,-16.15,127.11,12,0.76,-1.78,39.81,-10.19,30.75,2.81,-91.69,42.56,160.25,0.52,-0.61,-0.45,0.39,-98.41,0.1,72.98,0,0,0,-45,0,0,3,0
3751.55,Powered Ascent,,,,,,,0,-2.28,39.81,20.17,101512.59,38.72,-761065856,389986944,-19.25,5.81,-0.57,-16.15,127.11,12,0.5,-2.28,39.81,-10.31,29.25,3.19,-91.69,42.56,160.25,0.53,-0.61,-0.45,0.39,-98.5,0.09,72.7,0,0,0,-45,0,0,3,0
3751.56,Powered Ascent,,,,,,,0,-2.29,39.8,20.17,101512.59,38.72,-761065856,389986944,-19.25,5.81,-0.57,-16.15,127.11,12,0.29,-2.29,39.8,-10.38,27.25,2.94,-91.69,42.56,160.25,0.53,-0.61,-0.45,0.39,-98.6,0.08,72.43,0,0,0,-45,0,0,3,0
3751.57,Powered Ascent,,,,,,,0,-2.12,39.74,22.07,101512.59,38.72,-761065856,389986944,-19.25,5.81,-0.57,-16.15,127.11,12,-0.13,-2.12,39.74,-10.81,26.5,1.88,-86.75,42.88,156.38,0.53,-0.61,-0.45,0.38,-98.71,0.06,72.17,0,0,0,-45,0,0,3,0
3751.58,Powered Ascent,,,,,,,0,-1.41,39.71,21.75,101493.58,38.75,-761065856,389986944,-19.25,5.81,-0.57,-16.15,127.11,12,-0.22,-1.41,39.71,-12.38,25.56,1.69,-86.75,42.88,156.38,0.53,-0.61,-0.45,0.38,-98.83,0.03,71.93,0,0,0,-45,0,0,3,0
